cid;new_cid;channel_id;LANGUAGE;title;description;Provider_id;author;release_date;episode_count;play_count;sub_count;comment_count;categories;keywords;tags;rss_url;small_cover_url;big_cover_url
215638;0;3a6d5ab8322ebcc1423633e328c3f2610cd7b04d;FR (FR);Culture et découverte;Tous les matins, découvrez le coup de cœur culturel de Pierre De Vilno ainsi que le coup de cœur télé de Marion Calais.;Radio;Europe 1;2016-07-08 03:24:00 UTC;30;33;18;0;Reportages Culturels;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/culture-et-decouverte.xml;http://is1.mzstatic.com/image/thumb/Music7/v4/76/c7/b2/76c7b23c-c597-d37a-f684-2cbc7178e927/source/100x100bb.jpg;http://is1.mzstatic.com/image/thumb/Music7/v4/76/c7/b2/76c7b23c-c597-d37a-f684-2cbc7178e927/source/600x600bb.jpg
1087432;0;440db7fbafb58c9881c241c39e50e0c5508ceb8f;FR (FR);Rien ne s'oppose à Guy Carlier;Rien ne s'oppose à Guy Carlier est une chronique de l'émission rien de s'oppose à midi;Radio;Europe 1;2018-05-14 10:21:00 UTC;30;32;7;0;Jeux;Games & Hobbies;evst-user-add,evst-review-passed;http://cdn2-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/guy-carlier---europe-1.xml;https://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/rien-ne-s-oppose-a-guy-carlier/28735765-7-fre-FR/Rien-ne-s-oppose-a-Guy-Carlier.jpg;https://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/rien-ne-s-oppose-a-guy-carlier/28735765-7-fre-FR/Rien-ne-s-oppose-a-Guy-Carlier.jpg
374432;0;8a78e503d343a55b762a19103d408812d765a920;FR (FR);Europe 1 - L'édito politique;L'édito politique  d'Hélène Jouan est une chronique de l'émission Europe Matin ;Radio;Europe 1;2015-06-27 06:16:00 UTC;30;31;26;0;Reportages Actualité;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/edito-politique.xml;http://is3.mzstatic.com/image/thumb/Music62/v4/60/61/32/6061328e-9e83-c1bb-54a2-e7b696397e00/source/100x100bb.jpg;http://is3.mzstatic.com/image/thumb/Music62/v4/60/61/32/6061328e-9e83-c1bb-54a2-e7b696397e00/source/600x600bb.jpg
356042;0;2d39e479ab9754aa1d0529750361b3fe76435302;FR (FR);La région du jour;Le grand direct des régions présenté par Olivier Alleman & PIERRE BONTE ;Radio;Europe 1;2016-08-19 08:19:00 UTC;29;28;2;0;Reportages Culturels;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/la-region-du-jour.xml;http://is1.mzstatic.com/image/thumb/Music60/v4/30/cf/1a/30cf1aca-b203-db5f-b815-e696b22619e9/source/100x100bb.jpg;http://is1.mzstatic.com/image/thumb/Music60/v4/30/cf/1a/30cf1aca-b203-db5f-b815-e696b22619e9/source/600x600bb.jpg
201098;0;1dde84615ddbdd5f53b3b7b25195a856b0a59ad0;FR (FR);Le club de la presse étrangère;Le Club de la presse étrangère présenté par Sophie LARMOYER ;Radio;Europe 1;2018-01-05 17:45:00 UTC;25;27;19;0;Reportages Actualité;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/le-club-de-la-presse-etrangere.xml;http://is3.mzstatic.com/image/thumb/Music62/v4/41/d7/63/41d7637a-5c5a-e395-dc01-ce91319f6511/source/100x100bb.jpg;http://is3.mzstatic.com/image/thumb/Music62/v4/41/d7/63/41d7637a-5c5a-e395-dc01-ce91319f6511/source/600x600bb.jpg
211411;0;9cea842408ed90545967017e90eefe69ea99d0c8;FR (FR);L'innovation du jour;La chronique Innovation de Maxime Switek.;Radio;Europe 1;2015-07-10 04:40:00 UTC;30;24;29;0;Technologie;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/sandra-freeman.xml;http://is1.mzstatic.com/image/thumb/Music3/v4/41/07/fc/4107fc80-2963-d51c-1a9d-4afad55705d6/source/100x100bb.jpg;http://is1.mzstatic.com/image/thumb/Music3/v4/41/07/fc/4107fc80-2963-d51c-1a9d-4afad55705d6/source/600x600bb.jpg
233043;0;e580fc1219fcd92f7c54ffbd850d72ea04db4933;FR (FR);La sortie du jour;La sortie du jour par Jean-Philipe-Balasse sur Europe 1;Radio;Europe 1;2015-07-10 06:55:00 UTC;30;24;1;0;Reportages Culturels;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/le-choix-culturel.xml;http://is3.mzstatic.com/image/thumb/Music62/v4/c3/f8/cc/c3f8cc6d-a480-cbb3-9faa-e05dea0b9dfc/source/100x100bb.jpg;http://is3.mzstatic.com/image/thumb/Music62/v4/c3/f8/cc/c3f8cc6d-a480-cbb3-9faa-e05dea0b9dfc/source/600x600bb.jpg
530340;0;38dd6a2f67f699f334a5fe724dfe472444052fdc;FR (FR);Un dimanche de cinéma;Mathieu Charrier passe en revue l'actualité du septième art : les films à l’affiche, ceux à venir, les coups de cœurs, les projets et les tournages. ;Radio;Europe 1;2018-05-13 13:00:00 UTC;30;20;3;0;Reportages Culturels;Society & Culture;evst-user-add;http://cdn2-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/un-dimanche-de-cinema.xml;https://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/un-dimanche-de-cinema/28599754-7-fre-FR/Un-dimanche-de-cinema.jpg;https://cdn-europe1.new2.ladmedia.fr/var/europe1/storage/images/media/podcasts/un-dimanche-de-cinema/28599754-7-fre-FR/Un-dimanche-de-cinema.jpg
374927;0;dffa8742aacb804807bd7f4deb23996cbb9c34ae;FR (FR);En route pour la Maison-Blanche;Les actualités politiques des Etats-Unis par Xavier Yvon;Radio;Europe 1;2016-11-11 17:47:00 UTC;25;20;0;0;Reportages Actualité;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/en-route-pour-la-maison-blanche.xml;http://is1.mzstatic.com/image/thumb/Music71/v4/9c/14/5c/9c145c7f-ce57-7c87-b7ef-3d68c3f73ef0/source/100x100bb.jpg;http://is1.mzstatic.com/image/thumb/Music71/v4/9c/14/5c/9c145c7f-ce57-7c87-b7ef-3d68c3f73ef0/source/600x600bb.jpg
159476;0;49223cee13d287d70dcf4a249975e9adce337817;FR (FR);Les grandes voix vous répondent;Sonia Mabrouk et les voix historiques d’Europe 1 analysent et débattent de l’actualité;Radio;Europe 1;2016-06-19 17:00:00 UTC;23;19;55;0;Reportages Actualité;;;http://cdn-europe1.new2.ladmedia.fr/var/exports/podcasts/sound/les-grandes-voix-vous-repondent.xml;http://is5.mzstatic.com/image/thumb/Music49/v4/12/62/2e/12622ee9-9341-c8da-8bf5-1caac5289737/source/100x100bb.jpg;http://is5.mzstatic.com/image/thumb/Music49/v4/12/62/2e/12622ee9-9341-c8da-8bf5-1caac5289737/source/600x600bb.jpg
